"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
GO:0071897,GO:0071897,DNA biosynthetic process,35/591,189/18493,2.75E-17,7.62E-16,3.16E-16,ATM/ATR/CTNNB1/DNTT/HGF/HSP90AA1/LIG4/MRE11/MYC/PCNA/POLA1/POLB/PTK2B/RAD50/REV3L/RPA1/RPA2/SIRT1/SRC/TERT/TP53/XRCC5/ACVRL1/DUSP1/FGF2/LIG3/MEN1/NEK2/POLH/POLQ/PPARG/RGN/TNKS/TNKS1BP1/WRN,35,
GO:0033044,GO:0033044,regulation of chromosome organization,46/591,330/18493,3.14E-17,8.67E-16,3.59E-16,APC/ATM/ATR/BRCA1/CHEK1/CTNNB1/ERCC1/FOXP3/GATA3/GCG/IL1B/LIG4/MAPK8/MCPH1/MRE11/MYC/NBN/PARP1/PLK1/PML/RAD21/RAD50/RB1/RIF1/SETMAR/SIRT1/SRC/TGFB1/TLK1/VEGFA/XRCC1/XRCC5/ATG5/ATRX/CDC6/DNMT1/DUSP1/FEN1/NEK2/PAXIP1/PTTG1/SETD7/TNKS/TRIM28/UCN/XRCC3,46,
GO:0002262,GO:0002262,myeloid cell homeostasis,31/591,146/18493,3.18E-17,8.74E-16,3.62E-16,BAK1/BAX/CASP3/ERCC2/FANCC/FOXP3/GATA3/HIF1A/HMOX1/IKZF1/IL6/JAK2/KIT/MAPK14/PRDX1/RB1/SOD1/STAT1/STAT3/VEGFA/ACIN1/ADAM17/ANXA1/BAP1/DNASE2/FOXO3/G6PD/HIPK2/HSPA9/LYN/PIK3CB,31,
GO:1901654,GO:1901654,response to ketone,35/591,190/18493,3.27E-17,8.93E-16,3.70E-16,AKT1/AR/BCL2L1/CA9/CASP9/CAV1/CCND1/CDK4/CDKN1A/EGFR/GLB1/ICAM1/PARP1/PCNA/SIRT1/SRC/TGFB1/TSPO/AHR/AKR1C3/CALR/CCR7/DDIT4/DUSP1/EIF4EBP1/FOS/FOSB/FOXO3/HSF1/NTRK3/P2RY6/PPARG/PRKCE/TNC/TNFSF4,35,
GO:0043280,GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,29/591,126/18493,3.35E-17,9.12E-16,3.78E-16,BAK1/BAX/CASP1/CASP3/CASP8/CASP9/CYCS/FAS/FASLG/JAK2/LCK/MYC/PML/RHOA/SIRT1/TNF/CASP8AP2/DIABLO/EIF2AK3/HSF1/HSPD1/HSPE1/NLRP3/PIDD1/PPARG/RPS3/TNFRSF10A/TRAF2/XDH,29,
GO:0006275,GO:0006275,regulation of DNA replication,27/591,107/18493,3.37E-17,9.12E-16,3.78E-16,ATR/CCNA2/CDK1/CDK2/CHEK2/DNA2/EGFR/EREG/HRAS/HUS1/JUN/MRE11/MSH6/NBN/PCNA/RAC1/RAD17/SMC1A/SMC3/ACVRL1/ATRX/CDC6/DBF4/FGFR1/LIG3/RECQL4/UCN,27,
GO:0019216,GO:0019216,regulation of lipid metabolic process,50/591,388/18493,3.50E-17,9.41E-16,3.90E-16,AGT/AKT1/APOE/BCL11B/BRCA1/CAV1/CDK4/CREB1/DAB2IP/EGR1/IFNG/IL1B/IRS1/KIT/MTOR/NFKB1/PPARA/PTGS2/PTK2/PTK2B/RB1/SIRT1/SOD1/SP1/SRC/TGFB1/TNF/TSPO/AKR1C3/ANXA1/BMP2/CCR7/CD36/EPHX2/FGF2/FLT3/IDH1/LEP/LYN/PDGFA/PPARG/PRKCE/RGN/SERPINA3/SIN3B/SNAI1/SOCS1/SOCS3/TNFRSF1A/WDTC1,50,
GO:0051897,GO:0051897,positive regulation of protein kinase B signaling,33/591,168/18493,3.58E-17,9.58E-16,3.97E-16,ANGPT1/CSF3/EGF/EGFR/ERBB2/EREG/ESR1/GATA3/GPX1/HGF/HSP90AA1/ILK/IRS1/ITGB1/KIT/LCK/MTOR/PTK2/RET/SRC/TGFB1/TNF/AKR1C3/CCR7/ERBB3/FGF2/FGF20/FGF4/FGFR1/LEP/PDGFA/PIK3CB/TXN,33,
GO:0007259,GO:0007259,JAK-STAT cascade,31/591,147/18493,3.91E-17,1.04E-15,4.32E-16,AGT/CAV1/CD40/CSF2/EGF/IFNA13/IFNB1/IFNG/IGF1/IL2/IL24/IL3/IL6/JAK2/KIT/PTPRC/RET/STAT1/STAT3/FLT3/GH2/HSF1/IL13/IL4/IL5/LEP/LYN/PIAS1/SOCS1/SOCS3/TNFRSF1A,31,
GO:0051896,GO:0051896,regulation of protein kinase B signaling,38/591,228/18493,4.72E-17,1.25E-15,5.19E-16,AKT1/ANGPT1/CSF3/EGF/EGFR/ERBB2/EREG/ESR1/GATA3/GPX1/HGF/HSP90AA1/ILK/IRS1/ITGB1/KIT/LCK/MTOR/PTEN/PTK2/RET/SIRT1/SRC/TGFB1/TNF/AKR1C3/CCR7/ERBB3/FGF2/FGF20/FGF4/FGFR1/LEP/PDGFA/PIK3CB/STK11/TXN/XDH,38,
GO:0010001,GO:0010001,glial cell differentiation,35/591,194/18493,6.48E-17,1.71E-15,7.08E-16,ABL1/AKT1/CDK1/CLU/CTNNB1/EGFR/ERBB2/ERCC2/ILK/KRAS/MTOR/PTEN/RHOA/SIRT2/SOD1/STAT3/TGFB1/TNF/BMP2/CDH2/CDK5/ERBB3/GAP43/GFAP/HDAC1/LYN/MAP2K1/MT3/NTRK3/PPARG/PRPF19/SHH/SOX2/TLR4/TP73,35,
GO:0071241,GO:0071241,cellular response to inorganic substance,36/591,207/18493,7.88E-17,2.07E-15,8.57E-16,AKT1/BRAF/CCNA2/CDH1/CDK2/CREB1/EGFR/HMOX1/JUN/JUNB/LIG4/MAPK8/MMP9/NQO1/OGG1/PARP1/PTGS2/SOD1/TSPO/AKR1C3/ANXA5/ATRX/CALR/DAXX/DNM2/EIF2AK3/FOS/FOSB/HSF1/JUND/MT3/SHH/TF/TIGAR/TRAF2/XRCC4,36,
GO:0097696,GO:0097696,STAT cascade,31/591,151/18493,8.80E-17,2.30E-15,9.53E-16,AGT/CAV1/CD40/CSF2/EGF/IFNA13/IFNB1/IFNG/IGF1/IL2/IL24/IL3/IL6/JAK2/KIT/PTPRC/RET/STAT1/STAT3/FLT3/GH2/HSF1/IL13/IL4/IL5/LEP/LYN/PIAS1/SOCS1/SOCS3/TNFRSF1A,31,
GO:0002703,GO:0002703,regulation of leukocyte mediated immunity,35/591,196/18493,9.05E-17,2.36E-15,9.76E-16,APLF/BCR/CD40/DNASE1/FOXP3/GATA3/HLA-E/HMOX1/IFNB1/IL1B/IL2/IL6/KLRK1/KLRC4-KLRK1/MLH1/MSH2/MSH6/PTPRC/RIF1/TGFB1/TNF/TP53BP1/HSPD1/IL10/IL13/IL4/LEP/LYN/NLRP3/P2RX7/PAXIP1/TLR4/TNFSF4/TRAF2/UNG,35,
GO:0031349,GO:0031349,positive regulation of defense response,52/591,427/18493,9.10E-17,2.36E-15,9.76E-16,AGT/CASP8/CAV1/DAB2IP/EGFR/EREG/ESR1/HLA-E/HRAS/IFI16/IFNB1/IKBKB/IL1B/IL2/IL6/JAK2/KLRK1/KLRC4-KLRK1/KRAS/NFKB1/NFKBIA/PIK3C3/PRKDC/PTGS2/RAF1/RELB/SRC/TNF/XRCC5/BIRC3/CCR7/CD36/EP300/HSPD1/IRF1/LYN/NRAS/PAK1/PAK2/PLCG2/PRKCE/SERPINE1/TBK1/TLR4/TLR5/TNFRSF11A/TNFRSF1A/TNFSF4/UBE2K/UCN/XIAP/XRCC6,52,
GO:0002573,GO:0002573,myeloid leukocyte differentiation,35/591,197/18493,1.07E-16,2.75E-15,1.14E-15,CASP8/CD4/CREB1/CSF2/CSF3/CTNNB1/GATA3/IFI16/IFNG/JUN/JUNB/KIT/MAPK14/MMP9/MTOR/MYC/NOTCH2/PARP1/RB1/RELB/SIRT1/SRC/TGFB1/TNF/VEGFA/ACIN1/CCR7/FOS/IL4/IL5/LYN/PPARG/PRKCA/TLR4/TNFRSF11A,35,
GO:0031334,GO:0031334,positive regulation of protein complex assembly,40/591,259/18493,1.08E-16,2.77E-15,1.15E-15,ATM/ATR/BAX/CLU/CREB1/CSF2/CSF3/CTNNB1/ERCC1/ERCC2/ESR1/GSK3B/HNF1A/HSP90AA1/ICAM1/IFNG/JUN/MTOR/PARP1/PTK2B/RAC1/RHOA/RPA1/RPA2/SRC/TGFB1/TNF/TP53/VEGFA/CCL11/CCR7/CD36/DDB2/IL5/PAK1/PAXIP1/PRKCE/RPS3/TLR4/WIPF1,40,
GO:0031098,GO:0031098,stress-activated protein kinase signaling cascade,44/591,313/18493,1.14E-16,2.92E-15,1.21E-15,AGT/AKT1/DAB2IP/EGFR/ERCC6/FAS/GADD45A/HGF/HRAS/IGF1R/IKBKB/IL1B/MAP3K21/MAPK14/MAPK8/MYC/NFKB1/PRDX1/PTK2B/RHOA/TNF/VEGFA/BMP2/CCR7/DAXX/DUSP1/FOXM1/GADD45B/HIPK2/IL36G/LEP/LYN/MAP2K1/MAP2K2/MEN1/NEK1/NOX1/PAK1/PAK2/RPS3/TLR4/TNFRSF11A/TRAF2/XDH,44,
GO:0046427,GO:0046427,positive regulation of JAK-STAT cascade,24/591,85/18493,1.17E-16,2.99E-15,1.24E-15,AGT/CD40/CSF2/IFNG/IGF1/IL2/IL24/IL3/IL6/JAK2/KIT/PTK2B/STAT3/FLT3/GH2/HSF1/IL13/IL4/IL5/LEP/LYN/SOCS1/SOCS3/TNFRSF1A,24,
GO:0033138,GO:0033138,positive regulation of peptidyl-serine phosphorylation,26/591,103/18493,1.29E-16,3.28E-15,1.36E-15,AKT1/ANGPT1/BCL2/BRAF/CAV1/CSF3/EGFR/GCG/HSP90AA1/IFNA13/IFNB1/IFNG/IL6/PTGS2/RAF1/RET/TGFB1/TNF/VEGFA/IL11/NTRK3/PAK1/TBK1/TNKS1BP1/TXN/UCN,26,
GO:2001056,GO:2001056,positive regulation of cysteine-type endopeptidase activity,30/591,143/18493,1.48E-16,3.72E-15,1.54E-15,BAK1/BAX/CASP1/CASP3/CASP8/CASP9/CYCS/FAS/FASLG/IFI16/JAK2/LCK/MYC/PML/RHOA/SIRT1/TNF/CASP8AP2/DIABLO/EIF2AK3/HSF1/HSPD1/HSPE1/NLRP3/PIDD1/PPARG/RPS3/TNFRSF10A/TRAF2/XDH,30,
GO:1903428,GO:1903428,positive regulation of reactive oxygen species biosynthetic process,20/591,55/18493,1.60E-16,4.01E-15,1.66E-15,AGT/AKT1/CLU/HBB/HSP90AA1/ICAM1/IFNG/IL1B/JAK2/KLRK1/KLRC4-KLRK1/COX2/MTOR/PTGS2/PTK2B/TNF/CD36/DNM2/FOXO3/TLR4,20,
GO:0045429,GO:0045429,positive regulation of nitric oxide biosynthetic process,18/591,42/18493,1.62E-16,4.03E-15,1.67E-15,AGT/AKT1/CLU/HBB/HSP90AA1/ICAM1/IFNG/IL1B/JAK2/KLRK1/KLRC4-KLRK1/MTOR/PTGS2/PTK2B/TNF/CD36/DNM2/TLR4,18,
GO:1904407,GO:1904407,positive regulation of nitric oxide metabolic process,18/591,42/18493,1.62E-16,4.03E-15,1.67E-15,AGT/AKT1/CLU/HBB/HSP90AA1/ICAM1/IFNG/IL1B/JAK2/KLRK1/KLRC4-KLRK1/MTOR/PTGS2/PTK2B/TNF/CD36/DNM2/TLR4,18,
GO:0031960,GO:0031960,response to corticosteroid,32/591,166/18493,1.93E-16,4.76E-15,1.97E-15,BCL2/CASP3/CASP9/CCND1/CDKN1A/EGFR/GLB1/ICAM1/IL6/KRAS/PARP1/PCNA/PTGS2/RHOA/SRC/TAT/TGFB1/TNF/AKR1C3/ANXA1/DDIT4/DUSP1/EIF4EBP1/FLT3/FOS/FOSB/FOXO3/HSPD1/IL10/NTRK3/UBE2L3/UCN,32,
GO:0051235,GO:0051235,maintenance of location,44/591,318/18493,2.09E-16,5.14E-15,2.13E-15,ABL1/AKT1/ALB/APOE/BARD1/BAX/CAV1/CD4/FASLG/IL1B/IL6/LCK/NFKB1/NFKBIA/PML/PPARA/PTK2B/PTPRC/SIRT1/TGFB1/THY1/TNF/TSPO/ANXA5/ASPM/ATG5/CALR/CCR7/CD36/CDK5/FGF2/FLNA/IL10/IL13/KEAP1/LEP/LYN/NTSR1/P2RX7/P2RY6/PLCG2/PPARG/PRKCE/TXN,44,
GO:0002821,GO:0002821,positive regulation of adaptive immune response,26/591,105/18493,2.16E-16,5.30E-15,2.19E-15,CD4/CD40/FOXP3/GATA3/HLA-E/IL1B/IL2/IL6/MLH1/MSH2/MSH6/PTPRC/RIF1/SIRT1/TGFB1/TNF/TP53BP1/ANXA1/HSPD1/IL4/NLRP3/P2RX7/PAXIP1/TNFSF4/TRAF2/UNG,26,
GO:0046686,GO:0046686,response to cadmium ion,21/591,63/18493,2.19E-16,5.35E-15,2.22E-15,AKT1/CAT/CDK1/EGFR/ERCC1/GCLC/HMOX1/JUN/KIT/MAPK8/MMP9/OGG1/PCNA/SOD1/TERT/AKR1C3/DAXX/FOS/HSF1/MT3/NUDT1,21,
GO:1902105,GO:1902105,regulation of leukocyte differentiation,40/591,265/18493,2.44E-16,5.89E-15,2.44E-15,ABL1/BRAF/CASP8/CD2/CD4/CREB1/CTNNB1/EGR3/ERBB2/FANCD2/FOXP3/GATA3/IFNB1/IFNG/IL2/JUN/MTOR/MYC/NOTCH2/PTPRC/RB1/RHOA/SOD1/TGFB1/TNF/ACIN1/ANXA1/FOS/IL4/IL5/IRF1/LYN/NFATC2/NLRP3/PRKCA/SHH/SOCS1/TLR4/TNFSF4/TNFSF9,40,
GO:1904951,GO:1904951,positive regulation of establishment of protein localization,52/591,437/18493,2.44E-16,5.89E-15,2.44E-15,ABL1/ACHE/BCL2/CASP1/CASP8/CD2/CDH1/CDK1/E2F1/EGFR/ERBB2/GATA3/GCG/GSK3B/HIF1A/HLA-E/HRAS/IFNG/IGF1/IL1A/IL1B/IL2/IL6/JAK2/MAPK14/MAPK8/MDM2/PTGS2/SRC/TGFB1/TNF/TP53/BAP1/CDK5/FLNA/HSPD1/IL10/IL13/IL5/LEP/NADK/NLRP3/P2RX7/PAK1/PRKCE/SHH/TLR4/TNFSF4/TP63/TP73/TRIM28/UBE2L3,52,
GO:0038034,GO:0038034,signal transduction in absence of ligand,22/591,71/18493,2.47E-16,5.92E-15,2.45E-15,AKT1/BAK1/BAX/BCL2/BCL2L1/CASP3/CASP9/CSF2/GDNF/GSK3B/IL1A/IL1B/IL2/MCL1/RET/TERT/TNF/CASP2/ERBB3/FGFR1/FOXO3/WWOX,22,
GO:0097192,GO:0097192,extrinsic apoptotic signaling pathway in absence of ligand,22/591,71/18493,2.47E-16,5.92E-15,2.45E-15,AKT1/BAK1/BAX/BCL2/BCL2L1/CASP3/CASP9/CSF2/GDNF/GSK3B/IL1A/IL1B/IL2/MCL1/RET/TERT/TNF/CASP2/ERBB3/FGFR1/FOXO3/WWOX,22,
GO:0006919,GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,24/591,88/18493,2.83E-16,6.72E-15,2.78E-15,BAK1/BAX/CASP1/CASP3/CASP8/CASP9/CYCS/FAS/FASLG/JAK2/LCK/PML/TNF/CASP8AP2/DIABLO/EIF2AK3/HSPD1/HSPE1/NLRP3/PIDD1/PPARG/TNFRSF10A/TRAF2/XDH,24,
GO:1904894,GO:1904894,positive regulation of STAT cascade,24/591,88/18493,2.83E-16,6.72E-15,2.78E-15,AGT/CD40/CSF2/IFNG/IGF1/IL2/IL24/IL3/IL6/JAK2/KIT/PTK2B/STAT3/FLT3/GH2/HSF1/IL13/IL4/IL5/LEP/LYN/SOCS1/SOCS3/TNFRSF1A,24,
GO:0007584,GO:0007584,response to nutrient,36/591,216/18493,3.22E-16,7.61E-15,3.15E-15,CAT/CCND1/CD4/CD40/CREB1/DNTT/EGFR/ERCC1/GCLC/HMOX1/IL1B/MDM2/MGMT/MTOR/NQO1/OGG1/PCNA/PKM/PTEN/PTGS2/SOD1/STAT1/TGFB1/TSPO/AKR1C3/HLCS/HSF1/HSPD1/LDHA/LEP/P2RX7/PPARG/TNC/TNKS/TYR/VCAM1,36,
GO:0072431,GO:0072431,signal transduction involved in mitotic G1 DNA damage checkpoint,20/591,57/18493,3.61E-16,8.47E-15,3.51E-15,ATM/BAX/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/E2F1/GADD45A/MDM2/PCNA/PML/PRKDC/TP53/CASP2/E2F4/EP300/GML/PIDD1/TNKS1BP1,20,
GO:1902400,GO:1902400,intracellular signal transduction involved in G1 DNA damage checkpoint,20/591,57/18493,3.61E-16,8.47E-15,3.51E-15,ATM/BAX/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/E2F1/GADD45A/MDM2/PCNA/PML/PRKDC/TP53/CASP2/E2F4/EP300/GML/PIDD1/TNKS1BP1,20,
GO:0051091,GO:0051091,positive regulation of DNA-binding transcription factor activity,39/591,255/18493,3.70E-16,8.63E-15,3.58E-15,AGT/AKT1/AR/ATF2/CAT/CD40/CLU/CSF3/CTNNB1/ESR1/ICAM1/IKBKB/IL1B/IL6/JAK2/KIT/KRAS/NFKB1/NPM1/PTEN/TGFB1/TNF/TP53BP1/VEGFA/CAMK2A/CD36/EP300/HIPK2/IL10/IL5/NLRP3/PIDD1/PPARG/RPS3/SHH/TLR4/TNFRSF11A/TRAF2/TRIM31,39,
GO:0000018,GO:0000018,regulation of DNA recombination,25/591,98/18493,3.83E-16,8.90E-15,3.69E-15,APLF/CD40/CHEK1/ERCC2/FOXP3/IL2/MLH1/MRE11/MSH2/MSH6/PTPRC/RAD50/RAD51/RIF1/RPA2/SETD2/TGFB1/TP53BP1/IL10/IL4/PAXIP1/POLQ/TNFSF4/UNG/WRN,25,
GO:0032355,GO:0032355,response to estradiol,28/591,127/18493,3.93E-16,9.09E-15,3.77E-15,AGT/CASP3/CASP8/CASP9/CAT/CCNA2/CCND1/CD4/CTNNB1/EGFR/ESR1/KAT5/NQO1/OGG1/PCNA/PTCH1/PTEN/PTGS2/RBBP8/STAT3/TGFB1/ANXA1/CALR/DUSP1/HSF1/IL10/LEP/UCN,28,
GO:0006284,GO:0006284,base-excision repair,18/591,44/18493,4.45E-16,1.03E-14,4.25E-15,APEX1/DNA2/ERCC6/OGG1/POLB/RPA1/RPA2/TP53/XRCC1/FEN1/LIG3/PARP2/POLQ/RECQL4/RPS3/SMUG1/UNG/WRN,18,
GO:0010950,GO:0010950,positive regulation of endopeptidase activity,32/591,171/18493,4.74E-16,1.09E-14,4.51E-15,BAK1/BAX/CASP1/CASP3/CASP8/CASP9/CYCS/FAS/FASLG/IFI16/JAK2/LCK/MYC/PML/RHOA/SIRT1/STAT3/TNF/CASP8AP2/DIABLO/EIF2AK3/HSF1/HSPD1/HSPE1/LYN/NLRP3/PIDD1/PPARG/RPS3/TNFRSF10A/TRAF2/XDH,32,
GO:2001242,GO:2001242,regulation of intrinsic apoptotic signaling pathway,31/591,161/18493,5.94E-16,1.36E-14,5.62E-15,AKT1/BAX/BCL2/BCL2L1/CAV1/CLU/ERP29/GPX1/HIF1A/HSPB1/LCK/MCL1/MDM2/MMP9/PARP1/PTGS2/RAD9A/RRM2B/SIRT1/SOD1/SOD2/SRC/TP53/EIF2AK3/HDAC1/HNRNPK/NOX1/PIAS4/PLAUR/RPS3/SNAI1,31,
GO:0071158,GO:0071158,positive regulation of cell cycle arrest,23/591,82/18493,6.01E-16,1.37E-14,5.67E-15,ATM/BAX/BRCA1/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/DAB2IP/E2F1/GADD45A/MDM2/PCNA/PML/TGFB1/TP53/CASP2/E2F4/EP300/GML/PIDD1/TNKS1BP1/TP73,23,
GO:0002824,GO:0002824,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,25/591,100/18493,6.43E-16,1.46E-14,6.04E-15,CD4/CD40/FOXP3/GATA3/HLA-E/IL1B/IL2/IL6/MLH1/MSH2/MSH6/PTPRC/RIF1/TGFB1/TNF/TP53BP1/ANXA1/HSPD1/IL4/NLRP3/P2RX7/PAXIP1/TNFSF4/TRAF2/UNG,25,
GO:0002702,GO:0002702,positive regulation of production of molecular mediator of immune response,24/591,91/18493,6.56E-16,1.48E-14,6.13E-15,CD40/GATA3/HLA-E/IL1B/IL2/IL6/MAPK14/MLH1/MSH2/MSH6/PTPRC/RIF1/TGFB1/TP53BP1/CD36/IL13/IL4/IL5/NLRP3/PAXIP1/TLR4/TNFSF4/TRAF2/UNG,24,
GO:0042326,GO:0042326,negative regulation of phosphorylation,52/591,448/18493,6.95E-16,1.56E-14,6.48E-15,ABL1/AKT1/ANGPT1/APC/APOE/ATF3/BAK1/BAX/CASP3/CAV1/CDKN1A/DAB2IP/GADD45A/HGF/HSPB1/IGF1R/IL1B/IL2/ILK/JUN/MTOR/MYC/NPM1/PLK1/PPARA/PRKDC/PTEN/PTPRC/RB1/RHOA/SIRT1/SIRT2/STAT3/TGFB1/THY1/CDKN2A/DDIT4/DUSP1/FOXM1/GADD45B/LYN/MEN1/NTRK3/P2RX7/PAK2/RANBP9/RGN/SOCS1/SOCS3/TIGAR/TLR4/XDH,52,
GO:0072413,GO:0072413,signal transduction involved in mitotic cell cycle checkpoint,20/591,59/18493,7.86E-16,1.75E-14,7.23E-15,ATM/BAX/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/E2F1/GADD45A/MDM2/PCNA/PML/PRKDC/TP53/CASP2/E2F4/EP300/GML/PIDD1/TNKS1BP1,20,
GO:1902402,GO:1902402,signal transduction involved in mitotic DNA damage checkpoint,20/591,59/18493,7.86E-16,1.75E-14,7.23E-15,ATM/BAX/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/E2F1/GADD45A/MDM2/PCNA/PML/PRKDC/TP53/CASP2/E2F4/EP300/GML/PIDD1/TNKS1BP1,20,
GO:1902403,GO:1902403,signal transduction involved in mitotic DNA integrity checkpoint,20/591,59/18493,7.86E-16,1.75E-14,7.23E-15,ATM/BAX/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/E2F1/GADD45A/MDM2/PCNA/PML/PRKDC/TP53/CASP2/E2F4/EP300/GML/PIDD1/TNKS1BP1,20,
GO:2001022,GO:2001022,positive regulation of response to DNA damage stimulus,24/591,92/18493,8.61E-16,1.90E-14,7.89E-15,ATM/ATR/BABAM2/BRCA1/EGFR/H2AFX/MGMT/MYC/PARP1/PCNA/RAD9A/RIF1/RNF168/RNF8/SETMAR/SIRT1/XRCC1/FOXM1/PAXIP1/PIAS4/RPS3/TIGAR/TRIM28/UIMC1,24,
GO:1902807,GO:1902807,negative regulation of cell cycle G1/S phase transition,27/591,121/18493,9.63E-16,2.12E-14,8.79E-15,ATM/BAX/BCL2/CCND1/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/E2F1/GADD45A/MDM2/PCNA/PML/PRKDC/PTEN/RB1/RPA2/TP53/CASP2/E2F4/EP300/GML/MEN1/PIDD1/TNKS1BP1/WEE1,27,
GO:0010631,GO:0010631,epithelial cell migration,45/591,346/18493,1.00E-15,2.20E-14,9.12E-15,ABL1/AGT/AKT1/ANGPT1/APOE/CD40/DAB2IP/EGR3/GATA3/GPX1/HIF1A/HMOX1/HSPB1/IFNG/ITGB1/JUN/KDR/KIT/MMP9/MTOR/PTEN/PTGS2/PTK2/PTK2B/RHOA/RHOB/SIRT1/SP1/SRC/TGFB1/VEGFA/ACVRL1/ADAM17/ANXA1/CALR/FGF2/FGF4/FGFR1/IL4/NOS3/PAXIP1/PPARG/PRKCA/PRKCE/PXN,45,
GO:1901342,GO:1901342,regulation of vasculature development,50/591,421/18493,1.02E-15,2.23E-14,9.24E-15,ABL1/AGO2/AGT/ATF2/BRCA1/CD40/CTNNB1/DAB2IP/EGR1/ERBB2/FASLG/HGF/HIF1A/HMOX1/HSPB1/IL1A/IL1B/IL6/ITGB1/KDR/KIT/PKM/PML/PTGS2/PTK2B/RHOA/RHOB/SIRT1/SOD2/SP1/STAT1/STAT3/TERT/VEGFA/ACVRL1/ANXA1/CCL11/CXCL8/DNMT1/FGF2/HIPK2/IL10/ITGA5/LEP/NFATC2/NOS3/PPARG/PRKCA/SERPINE1/XDH,50,
GO:0090132,GO:0090132,epithelium migration,45/591,349/18493,1.39E-15,3.03E-14,1.25E-14,ABL1/AGT/AKT1/ANGPT1/APOE/CD40/DAB2IP/EGR3/GATA3/GPX1/HIF1A/HMOX1/HSPB1/IFNG/ITGB1/JUN/KDR/KIT/MMP9/MTOR/PTEN/PTGS2/PTK2/PTK2B/RHOA/RHOB/SIRT1/SP1/SRC/TGFB1/VEGFA/ACVRL1/ADAM17/ANXA1/CALR/FGF2/FGF4/FGFR1/IL4/NOS3/PAXIP1/PPARG/PRKCA/PRKCE/PXN,45,
GO:0045088,GO:0045088,regulation of innate immune response,46/591,365/18493,1.60E-15,3.46E-14,1.43E-14,CASP8/CAV1/DAB2IP/EREG/ESR1/HLA-E/HRAS/IFI16/IFNB1/IFNG/IKBKB/JAK2/KLRK1/KLRC4-KLRK1/KRAS/NFKB1/NFKBIA/PIK3C3/PRKDC/RAF1/RELB/SRC/STAT1/XRCC5/BIRC3/CD36/EP300/HSPD1/IRF1/LEP/LYN/NRAS/PAK1/PAK2/PIAS1/PLCG2/PPARG/PRKCE/SOCS1/SOCS3/TBK1/TLR4/TLR5/UBE2K/XIAP/XRCC6,46,
GO:2000134,GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,26/591,114/18493,1.87E-15,4.05E-14,1.68E-14,ATM/BAX/BCL2/CCND1/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/E2F1/GADD45A/MDM2/PCNA/PML/PRKDC/PTEN/RB1/RPA2/TP53/CASP2/E2F4/EP300/GML/PIDD1/TNKS1BP1/WEE1,26,
GO:0070663,GO:0070663,regulation of leukocyte proliferation,35/591,216/18493,2.05E-15,4.41E-14,1.83E-14,ATM/BCL2/CASP3/CD4/CD40/CTNNB1/ERBB2/FOXP3/HLA-E/IGF1/IL1B/IL2/IL6/PTPRC/TGFB1/AHR/ANXA1/CCL8/CD24/IL10/IL13/IL4/IL5/IRF1/LEP/LYN/NFATC2/PLA2G2D/RPS3/SHH/TLR4/TNFSF4/TNFSF9/TWSG1/VCAM1,35,
GO:0002819,GO:0002819,regulation of adaptive immune response,30/591,157/18493,2.19E-15,4.70E-14,1.95E-14,APLF/CD4/CD40/FOXP3/GATA3/HLA-E/IFNB1/IL1B/IL2/IL6/MLH1/MSH2/MSH6/PTPRC/RIF1/SIRT1/TGFB1/TNF/TP53BP1/ANXA1/HSPD1/IL10/IL4/IRF1/NLRP3/P2RX7/PAXIP1/TNFSF4/TRAF2/UNG,30,
GO:0002377,GO:0002377,immunoglobulin production,32/591,180/18493,2.21E-15,4.70E-14,1.95E-14,APLF/CD40/ERCC1/EXO1/FOXP3/HLA-E/IL2/IL6/LIG4/MLH1/MSH2/MSH6/NBN/POLB/PRKDC/PTPRC/RIF1/RNF168/RNF8/TGFB1/TNF/TP53BP1/HSPD1/IL10/IL13/IL4/IL5/PAXIP1/POLQ/TNFSF4/TRAF2/UNG,32,
GO:0002706,GO:0002706,regulation of lymphocyte mediated immunity,29/591,146/18493,2.21E-15,4.70E-14,1.95E-14,APLF/CD40/FOXP3/GATA3/HLA-E/IFNB1/IL1B/IL2/IL6/KLRK1/KLRC4-KLRK1/MLH1/MSH2/MSH6/PTPRC/RIF1/TGFB1/TNF/TP53BP1/HSPD1/IL10/IL4/LEP/NLRP3/P2RX7/PAXIP1/TNFSF4/TRAF2/UNG,29,
